T,nb,seed,exact_val,t_exact,n_nodepairs,comono_val,t_comono,hybrid_val,t_hybrid,n_lp_hybrid,frac_lp,gap_comono_pct,gap_hybrid_pct,time_ratio
3,4,105,0.23023683276185766,0.021100885000123526,274,0.23321866717143486,0.003024579000339145,0.23023683276185766,0.006068274000426754,17,0.06204379562043796,1.2951161522715238,0.0,0.2875838620224332
3,4,106,0.32493193941270526,0.02167180600008578,274,0.3885383294011423,0.003058495998629951,0.32493193941270526,0.006389443999069044,16,0.058394160583941604,19.575296323101302,0.0,0.2948274822616885
3,4,107,0.38907220405450865,0.022421993000534712,274,0.41722985260356343,0.0032737239998823497,0.38907220405450865,0.005776713998784544,17,0.06204379562043796,7.237126748100957,0.0,0.2576360628890921
3,4,108,0.17974844467628653,0.021454054998685024,274,0.18424326191814636,0.003311582000605995,0.17974844467628653,0.006052643999282736,17,0.06204379562043796,2.500615373865766,0.0,0.28212121203444845
3,4,109,0.16727985601480688,0.021422832000098424,274,0.1947916255521125,0.003117214999292628,0.16727985601480688,0.006063210999855073,12,0.043795620437956206,16.44655261711272,0.0,0.2830256522493019
3,5,100,0.1879312827305903,0.0511408330003178,652,0.20061419840957706,0.00819463300103962,0.1879312827305903,0.013771390998954303,26,0.03987730061349693,6.748698510810689,0.0,0.26928366612387256
3,5,101,0.19564470946695595,0.053931632999592694,652,0.22327764316206467,0.008138113000313751,0.19564470946695597,0.01422504000038316,26,0.03987730061349693,14.124038299014607,1.418672433885404e-14,0.263760602251569
3,5,102,0.21279476942881156,0.05343236899898329,652,0.23626447230169437,0.008681059000082314,0.2127947694288116,0.013473887998770806,26,0.03987730061349693,11.029266807582111,1.3043354256371547e-14,0.2521671460800697
3,5,103,0.16591434310893388,0.05368483699930948,652,0.1834850522846468,0.008698192999872845,0.16591434310893388,0.014048238001123536,26,0.03987730061349693,10.590229178785682,0.0,0.2616798110294017
3,5,104,0.14014191095900078,0.05242985699987912,652,0.15959164750865218,0.008600530998592149,0.1401419109590008,0.014055152001674287,26,0.03987730061349693,13.878600924274197,1.9805335481509845e-14,0.26807534496435287
3,5,105,0.29713982913679277,0.05303441000069142,652,0.36060528805258646,0.008320470000398927,0.29713982913679277,0.013824215000568074,26,0.03987730061349693,21.35878555902932,0.0,0.26066500976230045
3,5,106,0.22510993873330837,0.05166682600065542,652,0.26242888099618084,0.008498720999341458,0.2251099387333084,0.013780037999822525,26,0.03987730061349693,16.578096228387704,1.2329786846289102e-14,0.26670959039844483
3,5,107,0.20832325818153136,0.05347683699983463,652,0.22276201377377935,0.008458813999823178,0.20832325818153133,0.014315476000774652,26,0.03987730061349693,6.930937869484632,-1.332332062099514e-14,0.26769489004779623
3,5,108,0.26779763339009605,0.05599705199892924,652,0.27646546894196794,0.011979799999608076,0.26779763339009605,0.014557848999174894,26,0.03987730061349693,3.236711035173941,0.0,0.25997527511721985
3,5,109,0.1820413891914722,0.0528508179995697,652,0.19373641509166628,0.008685390999744413,0.18204138919147222,0.01437235400044301,26,0.03987730061349693,6.424377418858954,1.5246848938532016e-14,0.2719419404361921
